"Churn","MonthlyCharge","Gender","Age","Income","DeviceProtection","Tenure","Bandwidth_GB_Year","Contacts","Yearly_equip_failure","Item4","Item5","Item6","Item7"
"1","139.981577","1","70","43882.72","1","1.392421597","419.0508708","0","0","4","4","2","2"
"1","200.132293","1","20","10482.52","1","1.430386349","1259.415493","2","0","3","2","4","4"
"1","257.651257","0","69","33442.79","1","5.425864884","1745.125956","1","0","3","2","5","5"
"0","230.105118","0","45","43383.54","0","11.08287797","1795.465729","0","0","5","3","3","3"
"0","147.489301","1","40","21793.88","0","3.586184954","492.4771472","2","0","3","3","2","4"
"1","230.105118","1","82","51960.51","0","4.727388465","1013.993166","0","0","5","2","5","3"
"1","174.958118","0","74","25942.1","0","20.89923386","2680.762173","1","1","3","5","3","4"
"1","267.664655","0","69","11211.59","1","3.471329958","1081.814362","1","0","5","2","6","5"
"1","162.483267","0","52","8283.29","0","5.478588204","1209.961168","0","1","4","3","3","4"
"1","229.993134","1","26","10114.81","1","3.312991809","897.5919144","1","1","5","2","4","5"
"0","140.00128","1","25","36229.21","1","7.161561527","1340.930156","2","0","2","5","3","3"
"0","184.964681","1","66","25397.44","0","9.847563364","1113.993679","1","0","4","2","4","4"
"0","147.473844","0","72","50336.5","1","16.04202196","1530.10769","1","1","6","4","4","6"
"0","172.457857","1","21","38211.37","1","9.179779682","1310.137419","1","0","3","3","5","4"
"0","107.481989","0","55","52887.26","0","3.002844144","892.8964931","2","0","3","5","4","3"
"1","255.141716","0","41","12003.33","0","3.924254455","1125.581944","1","2","5","1","4","3"
"0","192.456745","0","32","24090.62","0","18.55959629","2016.710031","0","0","3","4","3","3"
"1","242.632554","1","22","15137.93","0","8.798394712","1412.736809","0","0","4","3","4","3"
"1","245.174977","1","44","54458.38","1","10.377366","1710.689671","1","0","2","4","3","5"
"1","184.964681","0","23","132116.33","0","22.25746016","2384.885909","1","0","2","2","4","3"
"1","195.006206","1","43","37358.13","1","9.427146079","1213.940165","1","0","4","3","3","4"
"0","104.962874","1","86","26534.16","0","7.760290062","740.010722","2","2","2","3","3","3"
"0","92.488023","1","84","76430.83","0","11.56938439","897.9716153","0","1","3","5","3","3"
"1","184.979684","1","62","4662.37","1","3.343811019","1026.387172","3","0","4","3","5","2"
"1","187.656013","1","68","43820.85","1","7.338869531","1234.244324","1","0","5","4","2","3"
"0","149.962093","1","59","38391.55","1","5.486534225","727.3731845","0","0","3","4","2","5"
"1","169.944668","1","31","44137.6","0","1.55278221","452.8721504","0","0","4","4","4","2"
"1","160.00128","0","51","14364.65","1","12.07970325","1296.674543","2","0","5","4","3","3"
"0","129.962093","1","58","62359.91","1","13.98666226","1840.628269","1","1","6","3","4","5"
"1","114.950905","0","73","82634.86","0","9.563362997","1324.330108","0","1","5","3","3","5"
"0","142.515576","1","33","15690.25","1","6.732948946","958.1397059","0","1","5","4","4","4"
"1","220.14775","0","58","14568.7","0","15.72071086","1868.864027","2","0","2","4","5","5"
"0","124.97808","1","49","29207.46","1","7.233605493","676.712908","1","0","4","4","5","5"
"0","164.964681","1","26","55319.23","0","2.871017037","1086.990308","1","0","4","3","4","4"
"0","194.976769","0","25","81831.49","1","2.344875382","704.7540406","3","0","2","3","4","2"
"1","152.455519","1","42","100076.65","0","7.960490246","1416.444695","3","0","4","3","2","4"
"0","92.5018","0","81","69965.65","1","12.25062113","1095.950634","0","0","3","4","3","2"
"0","127.488728","1","43","34883.69","1","9.634946079","1083.610268","0","0","3","4","4","3"
"0","184.963371","0","63","45634.2","1","7.916533093","1570.641337","1","0","3","4","4","4"
"1","265.146969","1","70","10964.73","1","4.471254161","1007.425553","0","1","4","4","3","3"
"1","207.609354","0","78","22365.28","0","10.79028074","1323.028419","1","0","6","2","5","7"
"0","152.462354","0","48","52636.6","0","12.24190682","1808.730555","0","1","2","5","2","2"
"1","200.132293","1","63","19048.13","1","2.203859443","1120.241472","2","1","5","4","4","4"
"1","212.655686","1","60","42784.82","0","23.92132231","2676.789803","0","0","5","3","7","5"
"1","255.119794","0","87","77996.88","0","3.7311787","1268.086909","0","0","5","4","3","5"
"0","134.950905","1","54","47507.3","0","7.980015371","822.6771666","0","0","3","5","2","2"
"1","255.137219","0","35","7724.73","1","9.190009376","1577.915603","0","1","3","3","3","3"
"1","214.966286","0","70","1509.52","1","2.378630018","648.7471776","0","0","5","2","3","4"
"1","270.160419","1","67","81124.71","1","5.43464555","1648.102673","0","0","3","5","3","3"
"1","200.165175","1","46","11795.57","1","1.092361222","768.0874545","0","0","2","3","1","3"
"0","149.937833","0","50","74794.84","0","20.13981517","2426.030626","2","1","4","3","3","4"
"1","240.114868","1","24","19038.78","0","24.64873861","2660.503932","1","0","1","4","4","3"
"0","127.495766","0","20","79167.77","1","9.677739656","1129.549713","0","0","4","5","4","3"
"1","187.609354","1","29","37428.26","0","9.82814183","1771.286466","2","1","2","5","3","3"
"0","169.992756","0","31","45148.38","1","7.832238337","943.3391244","1","0","4","4","3","4"
"0","192.456745","1","72","74855.47","0","19.45250317","1907.226083","3","0","3","1","5","4"
"0","120.004928","0","71","45323.86","1","14.34766616","1885.939118","1","0","3","4","3","2"
"0","195.006206","1","32","71596.14","1","2.257358355","631.7435653","0","0","5","3","3","5"
"0","139.95684","0","33","10389.95","0","2.358129018","562.6095219","1","0","3","3","4","3"
"0","114.983787","0","67","19657.14","0","4.650578623","593.8572264","3","0","2","5","4","2"
"1","207.638588","1","66","27827.03","0","3.721772616","777.3060718","1","1","6","1","4","3"
"1","187.609354","1","21","15609.05","0","3.76663012","1393.202392","4","0","3","3","3","3"
"0","134.950905","1","61","19815.63","0","4.151256695","393.6524652","0","2","4","3","4","5"
"1","192.470522","1","75","58482.9","1","2.188918771","409.7486664","0","0","3","3","4","3"
"1","222.628057","1","63","41656.53","1","13.85488928","2138.107161","1","0","2","4","3","2"
"0","162.468917","1","68","115510.46","0","3.273341151","443.984031","1","0","4","3","3","4"
"1","159.979358","0","32","15841.19","1","19.75096265","2481.385603","1","1","3","3","3","3"
"0","184.979684","0","76","81127.41","1","18.38404445","2233.567181","1","0","4","2","4","5"
"1","245.145743","1","29","24270.88","1","4.672610857","1158.91369","0","0","5","1","5","5"
"0","124.97808","1","83","54466.33","1","6.796299371","529.40733","0","1","3","2","4","3"
"1","187.484705","0","23","64816.84","1","12.97632235","1956.7337","1","1","4","3","2","3"
"0","162.500692","0","80","103311.26","1","20.31163945","2056.386979","1","0","3","4","4","5"
"0","182.467607","0","20","40211.04","1","6.998814446","1067.373076","1","1","5","2","6","6"
"1","222.660939","0","69","58077.38","1","14.46288204","1806.135733","1","1","5","3","4","4"
"0","182.467607","0","32","43466.35","1","11.13472066","1397.701335","1","0","4","3","4","2"
"1","220.161527","1","53","23289.77","1","2.542296644","808.4305471","1","0","2","3","3","5"
"0","169.937833","0","25","49158.49","0","17.22596021","1886.531937","1","0","4","3","3","3"
"1","204.963371","0","69","3805.84","1","22.79214163","2294.781131","0","2","3","2","4","4"
"1","204.963371","0","71","52616.27","1","3.823689744","826.3438621","2","1","2","4","2","4"
"1","245.128318","1","53","30550.42","0","10.77094687","2072.564168","1","0","4","3","2","4"
"1","172.473314","1","56","12154.01","0","13.08671185","1436.793746","0","2","3","5","3","2"
"1","172.456745","0","42","30649.31","0","14.76468813","1963.332683","2","2","3","5","4","2"
"1","194.976769","0","33","31417.33","1","9.473091121","1324.164906","0","0","2","4","2","3"
"0","137.439154","0","47","55861.19","0","5.197446331","704.9375603","1","0","4","3","3","4"
"1","192.470522","1","48","9044.26","1","6.577552683","888.6517305","3","1","4","2","3","4"
"1","159.951231","1","63","25381.66","0","3.174571918","377.0810282","1","0","2","3","3","3"
"0","112.455141","0","40","65064.31","0","17.88002366","1606.489936","0","0","3","3","3","3"
"1","174.961766","0","67","12527.51","0","13.12190056","1431.409396","2","0","3","3","5","3"
"0","162.452604","1","56","35499.06","0","23.34617699","2253.85247","3","0","4","4","3","5"
"0","137.483594","1","24","26282.4","1","6.311709178","1353.29384","1","0","3","3","3","3"
"0","275.133571","1","79","51237.28","1","12.58298231","1701.457566","3","0","4","1","4","4"
"1","127.442069","0","61","64222.21","0","7.120096363","1290.737183","1","1","5","3","5","4"
"1","210.138","0","38","11014.98","0","9.344886869","1403.270091","2","0","4","3","4","4"
"0","147.456419","1","28","21172.49","0","22.37815032","2603.903672","1","0","2","3","4","4"
"1","242.657291","0","44","26130.78","1","4.799514433","1256.287854","2","0","3","3","4","5"
"0","114.983787","0","65","36478.21","0","10.04672315","980.9935923","2","0","4","3","3","4"
"0","187.656013","1","35","54533.63","1","8.156552837","1347.869205","2","1","3","4","3","3"
"0","149.991327","1","31","37103.18","1","7.992791229","1127.267848","3","1","5","5","1","2"
"0","124.960655","0","34","74679.84","0","7.231032028","1269.836202","0","1","3","4","5","4"
"1","220.161527","0","68","95028.57","1","4.627672042","1038.745378","0","0","3","4","3","3"
"0","172.48852","0","62","34281.1","1","10.05306287","1531.155367","0","0","2","5","3","4"
"0","120.004928","0","52","36240.81","1","4.171044392","991.2441024","0","1","3","3","4","4"
"1","220.161527","0","32","9515.64","1","4.568682641","1244.296865","4","0","4","3","5","3"
"1","139.965008","1","47","125814.88","1","6.085030507","1162.332926","0","1","2","4","4","3"
"0","159.951231","1","66","12995.68","0","2.730250735","577.1157824","1","1","6","3","6","5"
"1","184.949594","1","70","77531.43","0","8.574901206","1442.974877","1","0","4","4","2","1"
"1","252.637807","0","41","87354.99","1","9.743201772","1577.208717","0","0","4","4","4","4"
"0","112.455141","0","59","76567.85","0","9.482919033","886.9398744","1","0","4","4","4","5"
"0","179.979358","0","46","30663.52","1","8.447988841","1065.06443","0","0","4","5","2","3"
"0","202.443347","0","70","122957.19","0","6.365998533","951.886985","0","0","4","3","4","3"
"0","197.472533","0","89","31600.92","1","7.251397592","1404.435534","2","0","1","7","3","4"
"1","255.155493","1","75","74638.78","1","14.64011644","1925.911722","3","1","4","3","4","2"
"1","174.976769","1","26","32652.3","1","11.71637124","1805.011298","0","1","4","4","4","4"
"0","169.992756","1","25","63650.54","1","4.13273503","700.7343179","1","1","3","4","3","3"
"1","192.440432","1","84","28622.6","0","2.887429547","513.237305","1","0","4","4","2","4"
"0","182.460772","0","69","50252.79","1","3.303030246","717.3876564","0","2","5","2","4","4"
"0","139.965008","0","31","19800.81","1","5.15825129","1313.492851","2","1","4","2","3","4"
"1","137.461553","0","76","35954.77","0","3.237560234","819.4195269","1","0","3","2","3","4"
"1","217.472533","0","75","36342.31","1","2.733109234","882.1160656","2","0","4","3","5","5"
"1","210.138","1","74","48715.53","0","3.180102025","724.7803356","1","0","4","2","2","3"
"0","104.964303","0","49","23204.98","0","15.85983755","1829.270014","2","0","2","4","5","4"
"1","262.610632","0","47","35302.52","0","11.73724209","1668.199119","1","1","4","4","3","2"
"1","152.488401","1","20","54895.16","0","7.006240694","1124.353152","2","0","3","6","4","4"
"1","174.974431","1","26","60398.06","0","5.562130367","1316.239744","2","0","3","3","3","5"
"0","220.118516","1","72","8115.88","0","14.53027663","1637.201426","0","1","5","3","4","4"
"0","162.452604","0","41","33858.66","0","5.905906389","951.8524406","0","0","3","5","4","4"
"1","184.961033","1","26","29950.47","0","3.260462654","1248.097652","2","1","3","4","4","4"
"0","217.483972","0","55","49421.69","1","18.91276578","2220.255405","3","0","5","4","3","3"
"0","220.118516","1","46","11061.05","0","14.25617986","1669.202417","2","1","4","2","5","3"
"1","187.642236","1","87","15388.32","0","7.983887266","990.0555076","1","2","3","4","4","4"
"0","174.961766","0","39","20624.31","0","5.969967132","967.9819136","2","1","4","3","3","3"
"1","252.637807","0","81","47877.81","1","19.95277818","2190.259876","0","0","4","5","3","4"
"0","130.024412","0","83","46154.17","1","14.85781115","1445.752781","1","0","1","3","4","4"
"1","162.482694","1","50","107111.8","1","2.600063739","528.6553088","2","0","3","4","4","4"
"1","182.467607","1","87","10403.59","1","11.92299244","1296.481055","2","1","3","4","3","4"
"0","139.934918","1","76","22412.6","0","5.972864167","1195.393037","0","0","4","3","3","1"
"1","200.165175","1","25","19476.27","1","10.87555535","1700.121992","1","0","2","5","4","4"
"1","202.682861","0","34","96382.76","1","16.00330155","2120.673828","0","0","4","1","4","4"
"0","159.951231","1","46","28022.56","0","12.63074989","1238.421347","0","1","2","3","5","4"
"0","149.948316","1","73","35478.4","0","8.4944392","847.110799","2","0","3","5","2","4"
"1","149.959755","1","57","10155.51","0","8.044444101","1112.937102","1","1","4","3","5","5"
"0","137.469817","0","58","87537.25","0","12.07358377","1623.045026","0","1","4","2","4","3"
"1","187.656013","0","70","34112.1","1","10.21634248","1479.730181","0","0","4","4","3","4"
"1","164.985293","0","53","32653.51","1","15.50354683","2144.735024","1","0","2","7","3","4"
"1","159.965008","0","31","35321.46","1","13.88004531","1522.289512","0","3","5","4","3","2"
"0","172.462354","1","38","49277.48","0","19.48900163","1974.780054","1","0","5","2","4","4"
"1","204.949594","1","26","37297.82","0","10.01771765","1261.177198","0","0","4","4","5","4"
"0","147.473844","0","44","14928.96","1","7.34059599","939.7181324","2","0","2","4","3","2"
"1","162.471255","1","66","24702.68","1","12.64742067","1357.062854","3","2","4","4","4","5"
"0","119.95684","0","58","87535.71","0","8.850426839","1456.887443","0","1","3","4","2","3"
"1","207.609354","1","51","63166.87","0","3.701557118","937.5863866","2","0","3","4","4","3"
"0","194.999168","1","34","11856.81","1","2.976033785","830.1193011","1","0","3","4","4","3"
"0","174.975543","1","87","27326.79","1","5.522376826","737.8564608","1","0","3","4","4","4"
"1","240.114868","1","67","12779.23","0","15.64596698","1781.854862","2","1","3","3","5","4"
"1","240.114868","1","59","25519.91","0","23.00764441","2464.577489","1","1","4","3","4","4"
"0","139.983006","0","23","46871.21","1","17.24924155","2392.203409","0","0","5","1","6","5"
"1","240.114868","0","42","77383.72","0","13.01107597","1664.19271","0","0","2","4","2","5"
"1","209.993134","1","24","47395.3","1","5.104082209","1433.616898","3","0","4","4","4","3"
"0","147.456419","1","81","90977.74","0","3.521499924","823.4933243","3","0","2","4","3","3"
"0","107.495766","0","78","135727.71","1","8.08137067","1468.357421","0","0","3","5","2","4"
"1","152.502178","1","51","47726.25","1","1.875430489","590.7765801","5","0","3","4","3","3"
"0","79.978861","1","70","51721.64","0","5.587484456","418.6206885","2","0","2","5","3","4"
"0","142.482694","1","87","41531.03","1","7.007695148","1181.991846","2","0","4","4","4","3"
"0","117.439154","1","46","33504.8","0","1.408375942","733.4036934","1","0","4","5","4","4"
"1","220.132293","1","56","34197.3","1","11.64983735","1719.173387","2","1","4","2","3","5"
"1","152.455519","0","44","11518.58","0","2.964559883","1205.956363","3","0","5","3","4","4"
"0","174.961766","1","33","31065.17","0","10.25635754","1261.032763","2","1","4","3","3","5"
"1","202.443347","1","19","32097.17","0","3.892407013","741.7766988","1","1","2","3","1","3"
"1","210.12704","0","31","23424.88","0","3.226996711","932.6084359","2","1","2","4","4","4"
"0","139.979239","1","34","35988.24","0","15.87685513","1708.614019","0","0","6","2","5","6"
"0","139.965008","0","43","35539.7","1","5.874064017","1363.58603","0","1","4","4","3","2"
"0","137.439154","0","82","27959.34","0","3.756359276","472.1057019","1","0","5","3","1","2"
"0","102.474625","1","36","52232.97","0","2.905283283","558.2340556","1","0","5","4","3","4"
"1","252.637807","0","48","18198.59","1","1.474810061","815.194738","3","0","3","3","3","3"
"1","194.999168","0","52","16851.94","1","18.56165869","2007.303617","0","1","4","2","5","4"
"1","242.610632","1","35","16440.05","0","12.39088509","2088.48083","1","0","4","3","4","3"
"0","127.458638","1","83","44223.58","0","14.17192333","1430.761492","2","0","3","3","1","4"
"0","129.976324","0","20","33343.73","0","3.86023041","822.3008694","1","0","5","4","3","3"
"1","240.114868","1","25","30664.56","0","17.72593456","2059.200998","4","0","4","3","4","5"
"0","174.975543","0","88","31934.04","1","3.043063167","617.542543","1","0","3","3","4","3"
"0","169.944668","1","54","26676.4","0","5.827112819","758.4775985","0","0","3","5","2","3"
"1","162.511928","0","46","67211.95","1","4.648958177","894.6733856","0","1","4","3","4","4"
"0","119.95684","1","75","31136.77","0","11.96274778","1639.898269","1","0","4","2","5","5"
"0","137.439154","0","66","40660.84","0","4.525864256","710.7541633","0","1","3","5","4","3"
"0","207.46728","1","51","10606.59","0","8.038308899","1092.226042","1","1","5","3","5","5"
"0","149.974105","1","81","92447.71","0","1.416592892","757.0097075","0","0","3","3","3","3"
"0","225.178625","0","75","13612.16","1","19.83504645","2301.850721","0","0","2","5","3","2"
"1","232.637807","1","54","13765.39","1","15.85002222","2401.406545","2","0","5","2","4","4"
"0","117.472036","0","73","53019.98","0","15.94935291","1535.788894","2","1","2","5","3","2"
"0","137.469817","0","53","42523.02","0","11.94550648","1536.589816","1","1","3","3","4","2"
"0","220.132293","1","33","52143.7","1","16.03360405","2153.778421","1","1","4","3","2","3"
"0","124.960655","1","41","19097.94","0","21.29342532","2409.195918","0","1","2","5","4","2"
"0","199.990219","1","59","11301.4","1","4.95598008","1342.862457","0","0","4","3","4","3"
"1","159.947583","1","23","17814","0","2.73951266","1046.054674","0","0","4","4","3","3"
"1","245.145743","1","32","22533.05","1","4.973046104","1204.479468","1","1","3","3","2","3"
"1","255.155493","1","51","19974.4","1","10.28430068","1616.908193","2","0","3","4","2","2"
"0","134.950905","1","46","45146.99","0","2.581692044","345.0099528","1","1","5","3","4","3"
"1","159.947583","0","37","10330.1","0","6.945736396","1427.088655","1","0","4","3","3","4"
"0","139.987503","0","53","15281.28","0","9.999416271","1452.334634","3","0","4","4","3","3"
"1","179.947583","0","62","11217.96","0","6.035737465","795.4957358","2","0","4","4","2","4"
"0","127.473844","1","57","17516","1","9.004964377","1333.894229","0","1","4","5","5","5"
"1","232.637807","1","80","20566.64","1","5.071456681","1402.20491","1","0","4","2","4","6"
"1","195.006206","0","43","36128.68","1","12.02106494","1447.196935","1","1","3","4","2","3"
"1","267.642733","0","35","52129.84","1","5.049303717","1662.510936","1","0","3","4","3","4"
"0","149.959755","1","63","25985.06","0","18.17247008","1707.641161","1","0","4","4","4","3"
"1","220.114868","1","63","10909.79","0","15.31997698","2181.752793","2","0","4","3","3","3"
"0","157.483594","1","27","41151.14","1","16.0708543","1575.683555","3","0","6","2","4","4"
"0","127.474951","1","19","64063.23","0","7.873371451","1029.489242","3","0","5","3","4","3"
"0","139.981577","1","40","20414.07","1","23.62866494","2370.184448","1","1","5","5","2","2"
"1","255.133571","0","42","41412.1","1","25.8634566","3309.919373","1","0","2","5","2","4"
"1","194.966286","1","40","99195.08","1","9.405224809","1623.273925","1","0","4","2","4","4"
"0","179.965581","1","72","18408.94","0","12.84490034","1146.199921","2","0","5","3","4","4"
"1","174.976769","0","61","15930.45","1","16.59325254","2229.268031","0","1","3","4","4","3"
"0","187.609354","0","71","25611.29","0","20.35456039","2512.36494","0","0","3","3","4","5"
"0","169.937833","1","68","9428.86","0","12.00925702","1297.388488","0","1","3","4","3","3"
"0","115.002061","1","88","3810.16","0","2.861423443","283.39178","2","1","4","4","3","2"
"1","152.462354","0","64","118022.06","0","14.20349453","1947.7853","2","0","3","3","2","3"
"1","207.609354","1","63","51992.79","0","4.98152586","849.1972541","1","1","3","4","1","2"
"0","147.503078","1","53","79993.43","1","23.12150846","2131.359827","0","2","3","3","3","3"
"0","200.118516","0","41","37706.85","0","6.307178205","1464.035068","0","0","4","3","2","3"
"0","137.497825","0","63","22466.53","0","12.73622643","1381.538548","1","0","2","5","2","4"
"0","134.980139","1","56","16608.27","0","12.00466914","1248.626874","0","0","3","4","3","3"
"0","147.442069","0","27","25146.14","0","2.243757398","558.3751762","0","0","5","1","4","4"
"0","197.494455","0","47","58882.35","1","1.583394702","676.2178659","0","0","3","3","3","3"
"0","162.529926","1","42","31809.46","1","14.23487852","1641.938696","2","0","3","3","4","3"
"1","210.151777","1","72","27235.54","1","15.28108311","1811.964373","0","0","4","5","3","3"
"1","159.965581","0","58","70476.82","0","4.135827839","1066.632555","2","0","3","3","5","4"
"1","190.173699","0","33","49396.09","1","9.740709475","1514.131966","3","0","4","5","2","3"
"1","202.649979","1","87","35060.94","1","1.213704886","1189.549671","0","1","4","3","4","4"
"0","134.950905","1","34","66055.53","0","11.86252419","1114.020282","2","0","4","2","4","4"
"0","142.500692","0","76","91335.76","1","2.416685985","1078.291303","1","0","2","5","4","3"
"0","114.997564","1","38","54349.75","1","6.73327535","854.2977548","0","1","2","2","4","4"
"1","232.62403","1","47","75042.1","0","6.549035393","1489.077486","1","1","4","5","3","5"
"1","242.628057","0","84","91001.1","1","10.57197066","1649.312808","1","0","3","5","3","3"
"1","202.443347","0","19","44426.28","0","3.379756569","905.1959227","0","0","3","3","3","4"
"0","124.993537","1","87","63284.16","0","8.959047529","684.6318529","1","1","5","4","4","4"
"0","174.976769","0","75","14039.21","1","10.23679934","1662.533055","1","0","2","3","4","5"
"1","225.145743","0","37","12453.24","1","14.96503088","2436.57146","0","1","2","5","4","4"
"1","275.133571","1","52","15934.12","1","23.79323993","2677.74041","0","1","3","3","4","3"
"1","287.642733","0","24","48314.4","1","11.45675389","1779.309609","1","0","5","4","4","4"
"1","177.65076","0","83","5511.77","0","11.04076215","1494.716409","0","0","4","3","4","5"
"1","220.114868","1","19","10701.11","0","7.425503428","1740.72604","0","1","3","3","5","2"
"1","197.516854","0","78","10767.15","1","2.411712843","704.7552669","0","0","4","2","3","3"
"0","194.974431","1","61","13493.63","0","2.009542213","558.4710883","1","1","3","3","4","5"
"1","175.133074","0","38","25071.58","0","9.068119482","1282.279049","0","0","1","4","3","3"
"1","147.478341","0","79","368.5","0","1.926789854","287.8189836","0","1","5","5","4","2"
"0","134.980139","1","49","27976.63","0","11.77389421","1129.529441","2","1","2","4","2","3"
"0","157.483594","1","41","56154.5","1","2.585228303","394.0148722","3","0","2","2","3","3"
"0","255.141716","1","75","62145.59","0","9.517703088","1302.230824","2","1","4","3","4","5"
"0","137.439154","1","60","6517.94","0","9.532523799","970.4682919","0","0","4","3","5","4"
"0","235.159141","0","70","19090.03","1","23.103996","2522.88913","0","0","4","3","4","5"
"1","147.460067","0","23","13194.33","0","5.104873611","682.9871863","0","0","4","3","4","6"
"1","232.637807","1","84","63963.36","1","6.877942744","1537.109931","1","0","3","4","3","3"
"1","137.439154","0","63","34447.89","0","21.17839683","1961.923965","3","0","5","4","4","3"
"0","129.948316","1","88","36315.29","0","1.586331702","676.1747964","3","0","3","4","3","3"
"1","242.632554","1","44","5009.07","0","3.778174405","929.2607767","3","0","3","3","4","5"
"1","187.609354","1","49","14202.72","0","11.58276897","1849.484087","0","0","3","3","4","3"
"1","232.652038","0","32","54779.76","0","11.62258922","1998.680227","0","0","5","3","4","4"
"0","159.980465","1","69","36453.31","0","20.78013031","1898.877878","1","0","3","4","2","2"
"1","159.947583","1","60","11250.71","0","3.940297464","992.3501481","1","1","5","2","4","4"
"0","137.487242","1","57","65951.35","1","11.38099891","994.6354785","0","0","4","3","3","4"
"1","245.131966","1","62","15292.25","0","1.473304337","954.0290712","0","1","4","3","5","3"
"0","117.439154","0","26","41879.1","0","12.75609778","1775.838153","0","1","3","4","3","3"
"1","209.993134","1","85","17080.57","1","6.253919786","1297.050577","0","1","3","4","4","5"
"0","169.974105","1","82","68122.23","0","18.9537053","1746.405243","0","0","3","4","1","2"
"0","197.470195","1","40","39468.79","0","9.640061615","1698.465833","1","1","3","5","2","4"
"1","137.516476","0","50","123763.12","1","5.201330266","665.4740915","1","0","4","2","4","5"
"1","207.475448","0","71","84301.44","1","12.42120946","1886.153328","0","1","3","4","2","4"
"0","160.00128","1","48","42469.81","1","8.134438503","958.6989908","1","0","1","7","3","2"
"0","147.478341","1","24","75458.79","0","14.86764776","1446.203986","1","0","2","3","3","4"
"0","127.488728","0","79","60345.9","1","5.548652108","774.6125757","1","0","4","3","4","4"
"0","139.981577","0","82","76066.77","1","18.35541838","1939.811149","2","1","4","4","3","5"
"1","220.132293","1","68","42755.27","1","7.62779591","1165.564309","0","1","2","3","5","4"
"0","214.952509","1","77","76874.25","0","4.439685675","750.8768234","0","0","3","3","4","3"
"0","139.99789","1","19","41075.64","1","11.16903388","1292.3206","1","1","4","3","5","4"
"1","270.160419","0","80","63095.62","1","14.14101821","2335.130986","1","2","3","4","2","4"
"1","202.443347","1","31","82131.87","0","3.212400569","769.8534863","1","0","2","4","3","4"
"0","172.47417","0","62","28502.33","1","16.84928353","1729.837284","1","2","3","3","3","4"
"1","137.468388","0","80","9450.84","0","3.834727471","649.3891796","1","1","3","4","3","2"
"0","104.962874","0","36","44977.06","0","6.198230305","823.0046464","3","0","4","3","3","3"
"0","174.969934","0","72","13583.35","1","4.216732972","1107.882056","3","0","3","5","2","4"
"0","139.99789","0","50","42093.64","1","4.355064781","683.8622599","1","0","3","2","2","4"
"0","144.988941","0","31","55398.87","1","4.030250374","1301.49424","2","0","3","4","1","2"
"0","114.997564","1","22","22362.59","1","9.915959247","1079.012505","0","2","4","4","3","4"
"1","172.484753","0","50","40271.47","0","9.821728297","1283.463995","1","0","3","5","2","3"
"0","124.97808","0","28","56178.63","1","9.183905417","987.653655","2","0","4","4","4","3"
"0","174.991856","0","63","21053.35","1","8.892893007","1088.263081","2","1","4","4","2","3"
