Churn,Gender,Age,StreamingMovies,MonthlyCharge,Tenure,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Item1,Item2
1,1.0,26,1,184.961033,3.260462654,12.34250072,12,2,1,3,4
0,0.0,55,1,217.483972,18.91276578,10.29380879,12,3,0,4,4
0,1.0,46,1,220.118516,14.25617986,8.512650562,11,2,1,3,4
1,1.0,87,1,187.642236,7.983887266,7.82671592,13,1,2,4,4
0,0.0,39,0,174.961766,5.969967132,6.985590245,9,2,1,4,5
1,0.0,81,1,252.637807,19.95277818,11.40449185,12,0,0,4,4
0,0.0,83,0,130.024412,14.85781115,10.44249511,13,1,0,3,4
1,1.0,50,1,162.482694,2.600063739,15.38627887,12,2,0,3,3
1,1.0,87,0,182.467607,11.92299244,10.68024546,13,2,1,4,3
0,1.0,76,0,139.934918,5.972864167,10.62439366,13,0,0,2,3
1,1.0,25,1,200.165175,10.87555535,10.91642397,13,1,0,2,2
1,0.0,34,1,202.682861,16.00330155,8.580626195,14,0,0,2,2
0,1.0,46,1,159.951231,12.63074989,8.996933306,11,0,1,4,5
0,1.0,73,0,149.948316,8.4944392,7.602570192,7,2,0,4,3
1,1.0,57,1,149.959755,8.044444101,9.217689334,12,1,1,5,6
0,0.0,58,0,137.469817,12.07358377,9.591529444,14,0,1,2,3
1,0.0,70,1,187.656013,10.21634248,13.36027908,12,0,0,4,2
1,0.0,53,0,164.985293,15.50354683,4.372034777,7,1,0,3,3
1,0.0,31,1,159.965008,13.88004531,10.59285179,11,0,3,2,3
0,1.0,38,0,172.462354,19.48900163,12.81260566,10,1,0,4,4
1,1.0,26,0,204.949594,10.01771765,3.767298987,11,0,0,2,2
0,0.0,44,0,147.473844,7.34059599,17.56798903,14,2,0,3,4
1,1.0,66,0,162.471255,12.64742067,11.2369761,11,3,2,4,4
0,0.0,58,0,119.95684,8.850426839,8.54892416,15,0,1,3,2
1,1.0,51,1,207.609354,3.701557118,6.094109902,11,2,0,3,4
0,1.0,34,1,194.999168,2.976033785,13.9077275,14,1,0,3,2
0,1.0,87,0,174.975543,5.522376826,7.905333122,14,1,0,3,4
1,1.0,67,1,240.114868,15.64596698,12.53830949,9,2,1,3,4
1,1.0,59,1,240.114868,23.00764441,12.8219418,12,1,1,4,3
0,0.0,23,0,139.983006,17.24924155,8.941553742,10,0,0,5,4
1,0.0,42,1,240.114868,13.01107597,10.51043963,12,0,0,3,4
1,1.0,24,1,209.993134,5.104082209,11.86384439,11,3,0,4,4
0,1.0,81,0,147.456419,3.521499924,10.76051016,10,3,0,4,4
0,0.0,78,0,107.495766,8.08137067,11.05420024,14,0,0,3,3
1,1.0,51,1,152.502178,1.875430489,8.174495258,8,5,0,1,3
0,1.0,70,0,79.978861,5.587484456,10.05388383,12,2,0,4,3
0,1.0,87,1,142.482694,7.007695148,7.045552801,13,2,0,5,4
0,1.0,46,0,117.439154,1.408375942,8.957297136,14,1,0,4,4
1,1.0,56,1,220.132293,11.64983735,15.74015572,14,2,1,5,6
1,0.0,44,1,152.455519,2.964559883,13.41209586,11,3,0,2,2
0,1.0,33,0,174.961766,10.25635754,14.89835355,9,2,1,4,3
1,1.0,19,1,202.443347,3.892407013,13.62135046,14,1,1,3,3
1,0.0,31,1,210.12704,3.226996711,14.95912113,12,2,1,4,4
0,1.0,34,1,139.979239,15.87685513,11.741245,9,0,0,5,5
0,0.0,43,1,139.965008,5.874064017,7.765121655,11,0,1,5,5
0,0.0,82,0,137.439154,3.756359276,7.130431693,5,1,0,2,2
0,1.0,36,0,102.474625,2.905283283,8.359515606,13,1,0,2,2
1,0.0,48,1,252.637807,1.474810061,9.42799205,17,3,0,4,3
1,0.0,52,1,194.999168,18.56165869,10.95510131,11,0,1,4,2
1,1.0,35,1,242.610632,12.39088509,10.8621377,16,1,0,5,4
0,1.0,83,0,127.458638,14.17192333,7.352533505,15,2,0,2,3
0,0.0,20,0,129.976324,3.86023041,11.38860234,14,1,0,3,3
1,1.0,25,1,240.114868,17.72593456,9.580144161,13,4,0,2,3
0,0.0,88,0,174.975543,3.043063167,10.79191234,18,1,0,4,3
0,1.0,54,0,169.944668,5.827112819,9.982341124,8,0,0,2,3
1,0.0,46,1,162.511928,4.648958177,6.511921085,12,0,1,5,5
0,1.0,75,0,119.95684,11.96274778,10.70500472,14,1,0,4,4
0,0.0,66,0,137.439154,4.525864256,11.58410296,11,0,1,4,3
0,1.0,51,0,207.46728,8.038308899,8.01651453,12,1,1,4,3
0,1.0,81,0,149.974105,1.416592892,15.12148226,12,0,0,4,4
0,0.0,75,1,225.178625,19.83504645,12.63643487,18,0,0,3,2
1,1.0,54,1,232.637807,15.85002222,16.68178185,8,2,0,5,4
0,0.0,73,0,117.472036,15.94935291,11.08409914,10,2,1,4,4
0,0.0,53,0,137.469817,11.94550648,12.99948061,12,1,1,3,4
0,1.0,33,1,220.132293,16.03360405,11.17949466,14,1,1,3,4
0,1.0,41,0,124.960655,21.29342532,7.369412654,13,0,1,3,2
0,1.0,59,0,199.990219,4.95598008,9.84688181,11,0,0,4,5
1,1.0,23,1,159.947583,2.73951266,18.19542503,14,0,0,1,2
1,1.0,32,1,245.145743,4.973046104,13.53989069,13,1,1,3,3
1,1.0,51,1,255.155493,10.28430068,5.458806701,10,2,0,3,3
0,1.0,46,0,134.950905,2.581692044,12.0772854,11,1,1,3,4
1,0.0,37,1,159.947583,6.945736396,6.918984305,9,1,0,4,5
0,0.0,53,0,139.987503,9.999416271,14.84155042,8,3,0,4,4
1,0.0,62,1,179.947583,6.035737465,12.66717474,15,2,0,2,3
0,1.0,57,0,127.473844,9.004964377,11.43786808,13,0,1,5,6
1,1.0,80,1,232.637807,5.071456681,6.915228797,10,1,0,4,4
1,0.0,43,0,195.006206,12.02106494,11.30215199,12,1,1,4,3
1,0.0,35,1,267.642733,5.049303717,9.513085538,10,1,0,4,4
0,1.0,63,1,149.959755,18.17247008,9.497106973,11,1,0,3,3
1,1.0,63,1,220.114868,15.31997698,12.21852573,15,2,0,3,4
0,1.0,27,0,157.483594,16.0708543,8.272244827,11,3,0,3,3
0,1.0,19,1,127.474951,7.873371451,10.24857935,14,3,0,2,3
0,1.0,40,0,139.981577,23.62866494,6.743431946,12,1,1,2,2
1,0.0,42,1,255.133571,25.8634566,12.4703522,8,1,0,2,3
1,1.0,40,1,194.966286,9.405224809,7.913676085,16,1,0,3,2
0,1.0,72,0,179.965581,12.84490034,9.362849722,12,2,0,3,4
1,0.0,61,0,174.976769,16.59325254,17.41324465,10,0,1,3,4
0,0.0,71,1,187.609354,20.35456039,13.43700846,11,0,0,4,4
0,1.0,68,1,169.937833,12.00925702,11.95206054,7,0,1,4,4
0,1.0,88,0,115.002061,2.861423443,4.550449856,17,2,1,2,3
1,0.0,64,0,152.462354,14.20349453,6.09060584,11,2,0,4,3
1,1.0,63,1,207.609354,4.98152586,10.2863601,10,1,1,2,2
0,1.0,53,0,147.503078,23.12150846,11.17709222,12,0,2,3,3
0,0.0,41,1,200.118516,6.307178205,14.12145884,14,0,0,2,3
0,0.0,63,0,137.497825,12.73622643,7.799780591,13,1,0,5,4
0,1.0,56,0,134.980139,12.00466914,7.122072827,14,0,0,2,3
0,0.0,27,1,147.442069,2.243757398,9.329902365,6,0,0,3,3
0,0.0,47,0,197.494455,1.583394702,7.509389052,18,0,0,4,4
0,1.0,42,0,162.529926,14.23487852,15.06990851,14,2,0,2,2
1,1.0,72,1,210.151777,15.28108311,9.321265424,14,0,0,4,4
1,0.0,58,0,159.965581,4.135827839,3.564651961,9,2,0,4,4
1,0.0,33,1,190.173699,9.740709475,7.779622319,12,3,0,2,2
1,1.0,87,1,202.649979,1.213704886,10.74985413,8,0,1,3,2
0,1.0,34,0,134.950905,11.86252419,7.738373361,11,2,0,2,2
0,0.0,76,0,142.500692,2.416685985,12.01267388,11,1,0,3,4
0,1.0,38,0,114.997564,6.73327535,14.04748759,21,0,1,4,4
1,1.0,47,1,232.62403,6.549035393,3.11231175,12,1,1,4,5
1,0.0,84,1,242.628057,10.57197066,8.284591121,8,1,0,3,2
1,0.0,19,1,202.443347,3.379756569,6.269792565,20,0,0,3,2
0,1.0,87,0,124.993537,8.959047529,9.803905459,16,1,1,5,5
0,0.0,75,0,174.976769,10.23679934,8.571019738,5,1,0,6,6
1,0.0,37,1,225.145743,14.96503088,10.00344746,14,0,1,5,5
1,1.0,52,1,275.133571,23.79323993,4.255224068,12,0,1,4,4
1,0.0,24,1,287.642733,11.45675389,11.2714618,14,1,0,2,2
1,0.0,83,1,177.65076,11.04076215,8.477982632,19,0,0,3,4
1,1.0,19,1,220.114868,7.425503428,9.753145376,19,0,1,3,2
1,0.0,78,1,197.516854,2.411712843,14.57387887,13,0,0,3,3
0,1.0,61,1,194.974431,2.009542213,13.13441554,15,1,1,5,6
1,0.0,38,1,175.133074,9.068119482,11.62771397,15,0,0,2,2
1,0.0,79,0,147.478341,1.926789854,6.114030983,11,0,1,3,3
0,1.0,49,0,134.980139,11.77389421,12.76603868,8,2,1,4,4
0,1.0,41,0,157.483594,2.585228303,6.348897952,10,3,0,1,2
0,1.0,75,1,255.141716,9.517703088,16.10939031,9,2,1,3,2
0,1.0,60,0,137.439154,9.532523799,7.151598137,13,0,0,4,4
0,0.0,70,1,235.159141,23.103996,4.575363954,13,0,0,4,5
1,0.0,23,0,147.460067,5.104873611,13.42263904,9,0,0,4,4
1,1.0,84,1,232.637807,6.877942744,3.559550725,8,1,0,4,3
1,0.0,63,0,137.439154,21.17839683,5.971214226,13,3,0,3,4
0,1.0,88,0,129.948316,1.586331702,7.287197615,16,3,0,4,3
1,1.0,44,1,242.632554,3.778174405,11.30031859,18,3,0,4,3
1,1.0,49,1,187.609354,11.58276897,10.26519974,17,0,0,4,4
1,0.0,32,1,232.652038,11.62258922,16.28075484,14,0,0,3,3
0,1.0,69,1,159.980465,20.78013031,10.96553586,8,1,0,3,3
1,1.0,60,1,159.947583,3.940297464,10.93514898,16,1,1,3,3
0,1.0,57,0,137.487242,11.38099891,2.98020454,11,0,0,4,4
1,1.0,62,1,245.131966,1.473304337,17.05256354,14,0,1,5,5
0,0.0,26,0,117.439154,12.75609778,12.29165611,11,0,1,3,3
1,1.0,85,1,209.993134,6.253919786,10.32744663,10,0,1,3,3
0,1.0,82,0,169.974105,18.9537053,9.22949351,18,0,0,2,3
0,1.0,40,1,197.470195,9.640061615,10.02758972,11,1,1,3,3
1,0.0,50,0,137.516476,5.201330266,7.259022839,10,1,0,6,5
1,0.0,71,1,207.475448,12.42120946,10.97274944,10,0,1,3,3
0,1.0,48,0,160.00128,8.134438503,11.87042081,14,1,0,4,4
0,1.0,24,0,147.478341,14.86764776,9.531063533,10,1,0,5,5
0,0.0,79,1,127.488728,5.548652108,8.798065013,11,1,0,4,4
0,0.0,82,0,139.981577,18.35541838,15.27146446,12,2,1,3,3
1,1.0,68,1,220.132293,7.62779591,7.014445177,8,0,1,3,2
0,1.0,77,1,214.952509,4.439685675,10.62019312,10,0,0,2,3
0,1.0,19,1,139.99789,11.16903388,10.04585562,14,1,1,5,5
1,0.0,80,1,270.160419,14.14101821,10.88047174,15,1,2,3,3
1,1.0,31,1,202.443347,3.212400569,9.975481565,13,1,0,5,3
0,0.0,62,1,172.47417,16.84928353,7.248946018,10,1,2,4,4
1,0.0,80,0,137.468388,3.834727471,9.53003591,16,1,1,4,4
0,0.0,36,0,104.962874,6.198230305,6.592317798,16,3,0,3,3
0,0.0,72,1,174.969934,4.216732972,8.124261532,12,3,0,3,4
0,0.0,50,1,139.99789,4.355064781,11.44655577,11,1,0,4,3
0,0.0,31,0,144.988941,4.030250374,10.1755818,17,2,0,4,4
0,1.0,22,0,114.997564,9.915959247,13.7362126,15,0,2,4,4
1,0.0,50,1,172.484753,9.821728297,13.93422217,11,1,0,3,3
0,0.0,28,0,124.97808,9.183905417,3.405050602,11,2,0,5,5
0,0.0,63,1,174.991856,8.892893007,10.69284712,8,2,1,2,3
0,1.0,73,0,92.488023,7.661226872,10.11985468,11,0,0,4,5
0,0.0,72,1,139.965008,12.4767812,5.863179258,16,0,0,4,5
1,0.0,23,1,192.470522,2.462148717,13.357551,8,0,0,3,3
1,0.0,49,1,220.118516,14.09942339,14.04061351,10,1,0,2,2
1,1.0,82,1,232.622804,7.272649386,4.586902043,14,0,0,5,5
0,1.0,72,1,210.156274,3.999030359,11.03563726,9,1,0,4,4
0,1.0,45,0,114.972827,3.115945151,11.32768159,11,1,1,3,3
0,1.0,73,0,149.977753,13.67931764,5.307097721,13,1,0,4,4
1,1.0,78,0,184.985293,14.6728104,8.993783986,7,3,0,4,3
0,0.0,71,0,132.479779,5.953547112,11.05733159,11,1,0,4,3
1,1.0,67,1,190.12704,11.74635394,8.702618087,11,0,0,3,3
0,0.0,43,0,92.488023,5.954024226,7.045651851,11,1,2,3,4
1,1.0,27,1,220.114868,22.8577804,12.61411193,12,2,0,2,3
1,0.0,39,0,107.495766,1.407866545,9.703658153,13,1,1,4,4
0,1.0,52,1,169.967067,21.08265979,8.220453321,13,0,1,4,5
1,1.0,19,1,222.679213,11.10356439,8.816497541,8,0,1,4,3
1,1.0,48,1,200.132293,9.734064703,11.11756812,12,0,0,4,4
1,0.0,22,1,262.610632,12.21754865,13.07119875,10,2,1,3,3
1,0.0,69,0,152.495236,2.423722078,12.10865222,13,2,0,3,3
0,0.0,31,1,202.636202,13.66061487,9.681031902,15,1,0,3,3
0,1.0,79,0,127.478341,8.701581043,10.49495185,11,0,0,3,2
0,0.0,65,0,159.983006,4.844060027,7.535866122,11,0,0,3,5
1,0.0,49,0,124.960655,6.485034974,8.713443753,10,2,0,2,2
1,1.0,69,1,252.62403,1.14113241,7.191637555,10,1,0,2,3
0,0.0,74,0,104.97808,7.69213424,12.2870805,9,0,0,4,5
1,0.0,27,1,204.961033,13.73012915,10.66015784,10,1,0,4,5
1,1.0,79,1,245.145743,5.690013293,7.044096971,13,2,0,2,2
0,1.0,41,0,95.019486,6.68894661,12.14893118,14,1,0,5,5
0,1.0,51,1,169.937833,9.475983046,12.71107869,14,2,0,3,2
1,0.0,57,1,207.475448,4.893221514,9.759360165,14,0,0,5,5
0,1.0,66,0,114.983787,2.656915117,2.816821044,13,0,1,3,2
1,1.0,85,1,232.637807,8.381515693,9.617602049,9,4,0,6,6
0,1.0,54,1,225.131966,14.53315436,13.06640293,14,2,1,4,4
1,0.0,79,1,212.641455,13.62832619,8.669204519,11,1,0,5,5
1,0.0,56,0,152.495236,1.281566108,13.97477268,10,3,0,3,3
1,0.0,80,0,134.950905,3.365552603,11.19861363,10,0,0,4,3
1,1.0,37,1,200.132293,5.397827503,10.18921185,12,1,0,4,5
0,1.0,24,1,197.470195,9.001231999,9.518819692,11,3,0,5,4
0,0.0,48,1,192.456745,10.9750814,11.01996949,15,3,2,4,4
1,1.0,68,0,162.471255,7.825845378,14.91100172,15,2,0,5,2
1,0.0,74,1,222.660939,14.12966281,11.17971961,13,2,0,4,4
0,1.0,37,0,114.950905,14.66914461,12.16826675,17,1,0,4,4
1,0.0,54,1,182.446995,5.388165017,17.39213562,10,1,0,3,2
0,0.0,84,0,95.005709,2.810825808,12.02476736,10,1,0,2,3
1,0.0,68,1,172.456745,2.485229169,6.6769165,12,2,0,4,3
0,1.0,39,1,177.65076,2.051069457,11.78679636,7,1,0,3,2
0,0.0,85,1,207.638588,6.10108047,7.846521648,14,2,0,4,3
1,1.0,86,1,220.118516,4.950398978,5.670110512,13,2,0,4,5
0,1.0,70,0,137.468388,10.16660427,13.37036883,19,1,0,3,4
1,1.0,33,1,159.965008,12.29558653,9.826229752,13,2,0,4,5
0,1.0,58,1,182.465269,24.8868126,12.07226102,13,1,0,2,3
0,0.0,58,0,129.977753,9.660361769,15.42491471,12,1,1,2,2
1,0.0,42,0,112.484375,7.663625954,8.601959705,9,0,0,4,4
0,0.0,89,1,127.488728,5.25445262,8.787582345,10,0,0,5,6
0,0.0,63,0,162.471255,13.59137366,6.362190982,12,1,2,2,3
1,0.0,18,0,154.961766,12.3492819,9.507249087,13,0,1,5,5
0,0.0,82,0,194.976769,18.37317391,12.06831191,10,0,1,6,4
0,0.0,61,0,192.48852,8.498042024,5.600227586,10,1,0,3,3
0,0.0,36,0,162.452604,22.33583015,13.15969677,14,1,0,2,3
0,1.0,87,0,107.48056,1.541545443,6.18537496,18,1,0,3,4
